ID,label
88,8-Van
88,8-Van
88,8-Van
88,5-Lem
88,5-Lem
88,5-Lem
88,4-Rose
88,4-Rose
88,4-Rose
131,8-Van
131,8-Van
131,8-Van
131,5-Lem
131,5-Lem
131,5-Lem
131,4-Rose
131,4-Rose
131,4-Rose
79,8-Van
79,8-Van
79,5-Lem
79,5-Lem
79,5-Lem
79,4-Rose
79,4-Rose
79,4-Rose
138,8-Van
138,8-Van
138,8-Van
138,5-Lem
138,5-Lem
138,5-Lem
138,4-Rose
138,4-Rose
138,4-Rose
91,8-Van
91,8-Van
91,8-Van
91,5-Lem
91,5-Lem
91,5-Lem
91,4-Rose
91,4-Rose
91,4-Rose
93,8-Van
93,8-Van
93,8-Van
93,5-Lem
93,5-Lem
93,5-Lem
93,4-Rose
93,4-Rose
93,4-Rose
49,2-Hex
49,2-Hex
49,2-Hex
49,2-Hex
51,6-Ger
51,6-Ger
51,6-Ger
51,2-Hex
51,2-Hex
51,2-Hex
135,8-Van
135,8-Van
135,8-Van
135,5-Lem
135,5-Lem
135,5-Lem
135,4-Rose
135,4-Rose
135,4-Rose
53,6-Ger
53,6-Ger
53,6-Ger
53,2-Hex
53,2-Hex
53,2-Hex
53,3-Ethyl
53,3-Ethyl
53,3-Ethyl
55,3-Ethyl
55,3-Ethyl
55,3-Ethyl
55,2-Hex
55,2-Hex
55,2-Hex
55,6-Ger
55,6-Ger
55,6-Ger
57,2-Hex
57,2-Hex
57,2-Hex
57,6-Ger
57,6-Ger
57,6-Ger
58,7-Cit
58,7-Cit
58,7-Cit
15,7-Cit
15,1-Benz
15,1-Benz
17,1-Benz
17,1-Benz
17,1-Benz
17,7-Cit
17,7-Cit
17,7-Cit
60,3-Ethyl
60,3-Ethyl
60,3-Ethyl
60,6-Ger
60,6-Ger
60,6-Ger
60,2-Hex
60,2-Hex
60,2-Hex
21,7-Cit
21,7-Cit
21,7-Cit
21,1-Benz
21,1-Benz
21,1-Benz
21,1-Benz
23,1-Benz
23,1-Benz
23,1-Benz
23,7-Cit
23,7-Cit
23,7-Cit
23,6-Ger
23,6-Ger
23,6-Ger
23,6-Ger
23,6-Ger
94,8-Van
94,8-Van
94,8-Van
94,5-Lem
94,5-Lem
94,5-Lem
94,4-Rose
94,4-Rose
94,4-Rose
